Tweet	Cleaned_Text	Sentiment
Kalo belajar ekonomi mestinya jago memprivatisasi hati orang. Duh.. ironi USER	['ajar ekonomi mesti jago privatisasi hati orang aduh ironi']	negative
Aktor huruhara 98 Prabowo S ingin lengserkan pemerintahan Jokowi.... Nyata	['aktor huru hara 98 prabowo si lengser perintah jokowi nyata']	negative
USER Bu guru enakan jadi jablay atau guru esde sih.\nKayaknya menikmati jadi pecun ini guru.'	['bu guru enak jablay guru sekolah dasar sih kayak nikmat pecun guru']	negative
Belakangan ini kok fikiran ampas banget ya'	['pikir ampas banget ya']	negative
Ari sarua beki mah repeh monyet\xf0\x9f\x98\x86\xf0\x9f\x98\x86'	['ari bek rapi monyet xf0 x9f x98 x86 xf0 x9f x98 x86']	positive
Jadi cowo itu harus Gantle kalo ga Gantle itu namanya BANCI !'	['cowok gantle gantle nama banci']	negative
USER Slga mnr bom \xf0\x9f\x98\x82'	['alga mnr bom xf0 x9f x98 x82']	negative
USER kalo kamu noob pasti peluang disakitin nya lebih gede si'	['noob peluang sakit nya gede sih']	negative
PELAJAR SMA KEC BILAH HILIR DEKLARASI ANTI HOAX &amp; PILKADA 2018 DAMAI	['ajar camat bilah hilir deklarasi anti hoaks amp pilih kepala daerah 2018 damai']	neutral
Bandara Udara Internasional Kertajati dibangun oleh Gubernur Ahmad Heryawan tanpa gunakan APBN pemerintah pusat. Insya Allah siap beroperasi bulan depan;	['bandara udara internasional ajati bangun gubernur ahmad heryawan anggar dapat belanja negara perintah pusat insya allah operasi']	positive
Ini si USER kerjaannya delay mulu! Setan!'	['sih kerja delay mulu setan']	negative
menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget	['turut pintu sorga pintu sorga asli pintu hati modus banget']	negative
RT USER USER USER PKI hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong.	['partai komunis indonesia muncul jelang pilih kepala daerah pilih presiden goreng gosong']	neutral
USER USER Itu mah sdh nenek-nenek sy heran sama cebong biasay bohong terus'	['nenek nenek heran cebong bohong']	negative
Dari habis sahur sampe jam 10. Sibayik udah nete 4x. Skg rasanya lemas tak terkira \xf0\x9f\xa4\xa2'	['habis sahur jam 10 si bayi nete kali lemas xf0 x9f xa4 xa2']	positive
USER Gak kak emak mah gak demen ama yang sipit wkwk'	['kak emak suka sipit wkwk']	negative
USER Ga kak, gua bukan orang jawa maaf yak :(; ; gua orang palembang soalnya, kakak aja deh yg belajar aksara jawa. Atau kalak mau belajar budaya palembang?,0,0,0,0,0,0,0,0,0,0,0,0;;;;;;;;;;;;	['kak gue orang jawa maaf ya gue orang palembang kakak deh ajar aksara jawa kelak ajar budaya palembang 0 0 0 0 0 0 0 0 0 0 0 0']	negative
Pegawai Guardian training lagi kek Mentang2 gue kek gembel cuman kaos sama Flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari'	['pegawai guardian training kayak mentang mentang gue kayak gembel kaos flat shoes dijutekin bangsat malas beli kabur gue matahari']	negative
\xe2\x80\x9dPara Bajingan yang telah melukai Lady harus menerima ganjaran seratus kali lipat!!\xe2\x80\x9d(sanji) ##HBD17thPelautJKT48'	['xe2 x80 x9dpara bajing luka lady terima ganjar ratus kali lipat xe2 x80 x9d sanji selamat ulang laut jkt48']	negative
ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri:	['aja tolak berita hoaks sukses pilih kepala daerah wilayah kota diri']	neutral
USER USER Presiden RI Jokowi luarBiasa kerja nya tulus IHLAs untuk #RakyatB3rsamaJKW	['presiden ri jokowi kerja nya tulus ikhlas rakyat jokowi']	positive
Edan emang goollnya fabiano!!'	['edan tuju fabiano']	neutral
GAPERNAH MENDALAMI AL-QURAN YA BANG??? PANTESAN MULUTNYA KAYA ORANG KAFIR BEJAT HINA farhatabbaslaw'	['dalam al alquran ya bang mulut kayak orang kafir bejat hina farhat abbas law']	negative
Sangat terlihat beda sekali Kewibawaannya ,; yg sangat berwibawa cuma gubernur Indonesia USER ; Massya Allah...,0,0,0,0,0,0,0,0,0,0,0,0;;;;;;;;;;;;	['beda wibawa wibawa gubernur indonesia masya allah 0 0 0 0 0 0 0 0 0 0 0 0']	negative
Anjir baru kali ini lihat orang bego mau debat pilkada. Kerjanya nyerang karakter. Shame on you mpok silvy and agus. #DebatFinalPilkadaJKT	['anjir kali lihat orang bego debat pilih kepala daerah kerja serang karakter kecewa on empok silvy and agus debat final pilih kepala daerah jakarta']	negative
"#GubernurZamanNow #GusIpulPuti2 #GanjarYasin1 #DjarotSihar2 #HasanAnton2 #KosterAce1 #NurdinSudirman3 #KarolinGidot2 RT USER: ""Keanekaragaman budaya, suku, agama, itulah sesungguhnya kekayaan kita,â?? tutur Djarot di hadapan peserta Rakercabsuâ?¦,0,0,0,0,0,0,0,0,0,0,0,0;;;;;;;;;;;;"	['gubernur zaman now gus ipul puti 2 ganjar yasin 1 djarot sihar 2 hasan anton 2 koster ace 1 nurdin sudirman 3 karolin gidot 2 keanekaragaman budaya suku agama sungguh kaya djarot hadap pese a rakercabsu 0 0 0 0 0 0 0 0 0 0 0 0']	neutral
USER USER positif kok.\nse-positif respon masyarakat terhadap\n- CANGKUL impor\n- GARAM impor\n- BERAS impor\n- JAGUNG impor\n- TENAGA KERJA impor\n- ESEMKA impor\n\nURL	['positif nse positif respon masyarakat cangkul impor garam impor beras impor jagung impor tenaga kerja impor esemka impor nurl']	positive
KAU PENDIKAN TINGGI TAPI BODOH....GK ADA LARANG BAWA AGAMA..BIAR ORANG ISLAM YG DI BAYAR AHOK SADAR GK JADI MILIH AHOK GLA	['didik bodoh larang bawa agama biar orang islam bayar ahok sadar pilih ahok gila']	negative
"USER Awaasss... Jgn sampe beritanya sampe ke akhi gerung! Ntar susah nyari kosakatany. klu bcr aja micingin mata, bibir monyong kesamping, suara keluar ky lg nhn kentut.. ""politik kotor skl jmn ini!"". Klu tahu brt ini.. Plng Sambil ky nhn ngeden..""dungu!"". \xf0\x9f\x98\x8b,1,1,1,0,0,0,1,0,0,1,0,0;;;;;;;;;;;;"	['awaasss berita saudara gerung susah cari kosakata bocor picing mata bibir monyong samping suara ky nhn kentut politik kotor zaman b pulang ky nhn ngeden dungu xf0 x9f x98 x8b 1 1 1 0 0 0 1 0 0 1 0 0']	negative
pinokio umur 3 taonan tuh. #2019GantiPresiden	['pinokio umur 3 tahun 2019 ganti presiden']	negative
RT USER benci sekali dgn Umat Islam	['benci umat islam']	negative
"USER USER USER ""Provokasi mayat, politisasi agama"" penyebab kekalahan pilkada DKI, beginilah cara cebong mendeskripsikan kekalahan junjungannya.; FYI ahog blm pernah ikut pemilihan apapun (kec jd wakil) dan dia bukanlah etnis mayorita,1,1,1,0,0,1,0,0,0,1,0,0;;;;;;;;;;;;"	['provokasi mayat politisasi agama sebab kalah pilih kepala daerah daerah khusus ibukota cebong deskripsi kalah junjung for your information ahok pilih apa camat wakil etnis mayoritas 1 1 1 0 0 1 0 0 0 1 0 0']	negative
USER dari pada gua nete'	['gue nete']	positive
USER Lol bani lowo'	['wkwk bani lowo']	positive
Takabur bisa lahir dari siapa saja. Penguasa, rakyat, ulama maupun cendikia. Bahkan iblis mahluq yg alim &amp; telah beribadah beratus2 th dilaknat krn hasud takabburnya. Apalagi hanya seorang ahli ilmu filsafat yg tdk failosof; ; Mari kita demo diri sendi,0,0,0,0,0,0,0,0,0,0,0,0;;;;;;;;;;;;	['takabur lahir kuasa rakyat ulama cendikia iblis makhluk alim amp ibadah atus ratus laknat hasud takabur ahli ilmu filsafat failosof mari demo sendi 0 0 0 0 0 0 0 0 0 0 0 0']	negative
[ SAMPAI KAPAN MAKAN RACUN ? ]; _; Banyak ulama yang mengatakan hukum rokok mubah dan ada jugaâ?¦	['makan racun ulama hukum rokok mubah']	negative
Susilo Bambang Yudhoyono Presiden RI ke 6 meminta Khofifah Emil untuk dekat dengan masyarakat . No 1 Bisa ! BaGusS #KhofifahEmilNomer1	['susilo bambang yudhoyono presiden ri 6 khofifah emil masyarakat no 1 bagus khofifah emil nomor']	neutral
Saya suka video USER URL Awal Kisah Perseteruan Haji Bolot &amp; Malih Tongtong'	['suka video uniform resource locator kisah seteru haji bolot amp malih tongtong']	neutral
"USER USER USER USER \xf0\x9f\x8e\xb6 la la la...hm hmm \xf0\x9f\x8e\xa7 ""Semua diam ,semua bisu""\n""Kita coba tanya sama rumput yg bergoyang"" \n\xe2\x99\xab\xe2\x99\xab\xe2\x99\xab\xe2\x99\xaa\xe2\x99\xaa\xe2\x99\xaa',0,0,0,0,0,0,0,0,0,0,0,0;;;;;;;;;;;;"	['xf0 x9f x8e xb6 hem hem xf0 x9f x8e xa7 diam bisu coba rumput goyang xe2 x99 xab xe2 x99 xab xe2 x99 xab xe2 x99 xaa xe2 x99 xaa xe2 x99 xaa 0 0 0 0 0 0 0 0 0 0 0 0']	negative
USER USER USER USER USER USER USER Klw ente atheis..ngapain sibuk dgn agama orang...	['ateis sibuk agama orang']	negative
Lengserkan Jokowi Bangsat!!	['lengser jokowi bangsat']	negative
USER Selamat hari kartini ; ; #2019GANTIPRESIDEN; #2019PRESIDENBARU	['selamat kakak 2019 ganti presiden 2019 presiden']	neutral
USER Iya cocot'	['iya cocot']	negative
USER karena budaya indonesia.	['budaya indonesia']	neutral
"USER Yang ngajarin solat'a ajah itu orang aseng dia hanya ingin memecah belah islam"",0,0,0,0,0,0,0,0,0,0,0,0;;;;;;;;;;;;"	['ajar salat a orang asing pecah belah islam 0 0 0 0 0 0 0 0 0 0 0 0']	negative
USER x || Lo ngomong aja kaga bener bangke'	['x bicara bangkai']	negative
USER USER Kita semua tidak pernah akan mempercayai yg negara Kita disuatu hari nanti akan dijajah oleh kerana terdapat kes2pembubaran sistem2 beraja dinegara Kita kini untuk menjadikan sebagai negara republik komunis padahal negara2 penjaja	['percaya negara jajah ranah bubar sistem sistem beraja negara jadi negara republik komunis negara negara jaja']	negative
tapi masih menikmati kebijakan yang dulu diusulkan PKI.. lha yo opo...	['nikmat bijak usul partai komunis indonesia iya']	positive
Kalo seumpama orang cina di usir paksa dari indonesia gimana	['umpama orang cina usir paksa indonesia']	negative
USER bunda ngentot yuk'	['bunda ngentot yuk']	neutral
RT USER: china babi... china maling...\n#UsirChina https:\/\/t.co\/9y4HIWHJp2	['cina babi cina maling usir cina hypertext transfer protocol over secure socket layer t co 9y4hiwhjp2']	negative
PROYEK KORUPSI REZIM SBY URL	['proyek korupsi rezim susilo bambang yudhoyono uniform resource locator']	neutral
AB: pribadi yg senang berkompetisi dalam hal yang baik dan positif	['ab pribadi senang kompetisi positif']	positive
USER USER Terus menurut lo kitab suci agAma apa yg di bilang om USER ; ; #Mendadakkalap	['kitab suci agama bilang om dadak kalap']	negative
USER Suka nutup mata. Kaga ditutup pun udah terlihat tertutup gara2 sipit /?'	['suka tutup mata tutup te utup gara gara sipit']	negative
USER eh kasar kau kampang'	['eh kasar kampang']	negative
"BENTAR LAGI GUA RILIS ALBUM THE ONTA'S WKWKWKWKWK"",0,0,0,0,0,0,0,0,0,0,0,0;;;;;;;;;;;;"	['bentar gue rilis album the onta si wkwk 0 0 0 0 0 0 0 0 0 0 0 0']	negative
USER Ada cebong bang dia merasa paling benar'	['cebong bang']	negative
Najis banget gw ngetwit apa barusan wey'	['najis banget gue mentwit barusan he']	positive
Kamu transgender atau gmn anjing :( URL	['transgender anjing uniform resource locator']	negative
USER awas bintitan lu ngintipin titit kucing'	['awas bintit intip titit kucing']	positive
Jgn salah target bkn ahok... agenda utama lengserkan Jokowi ..	['salah target ahok agenda utama lengser jokowi']	negative
USER USER masa baru kena hestek aja udah kepanasan ??? Kepo banget ; ; #2019GantiPresiden	['kena tagar panas banget 2019 ganti presiden']	negative
Prabowo Sudah Kalah Menyebut Bantuan Jokowi Hanya Pencitraan Adalah Ratapan Pilu	['prabowo kalah sebut bantu jokowi citra ratap pilu']	neutral
USER USER dan yang takut dengan adzan adalah IBLIS'	['takut azan iblis']	negative
USER USER Yg goblog itu adalah bani cebong tukang tipu penjilat penguasa yg ketahuan gerakin masa yg dibayar pakai nasi bungkus. Propaganda nasi bungkus memang selalu gagal.'	['goblok bani cebong tukang tipu jilat kuasa tahu gera bayar pakai nasi bungkus propaganda nasi bungkus gagal']	negative
USER USER USER USER Wuih... cebong sewot...\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'	['cebong sewot xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82']	negative
2. Gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa	['2 gera tekan kerja keras total tingkat potensi bangsa']	negative
Padahal gubernur saat ini Djarot. Mayoritas partai politik di DPRD juga pendukung Ahok Djarot. Payah ya mereka USER URL	['gubernur djarot mayoritas ai politik dewan wakil rakyat daerah dukung ahok djarot payah ya uniform resource locator']	negative
USER Nah loh katanya anti aseng'	['anti asing']	negative
#AsyikM3nang saya sih ikut ulama saja	['asyik menang sih ulama']	positive
USER Yang saya ketahui bahwa diketapang banyak tka asing yg berkerja di berbagai perusahaan. Termasuk pt who tambang bouksid yg viral saat pilpres dulu. \nDan bisa jadi ini karena kerja sama tsb terjadi di era gubernur cornelis dan wakilnya ora	['tahu ketapang tenaga kerja asing asing usaha pt who tambang bauksit viral pilih presiden kerja era gubernur cornelis wakil']	neutral
USER Anak pecun... ga jauh2 dr hobi zina.. haha'	['anak pecun hobi zina haha']	negative
USER QUE BOM SBBSNSN'	['bom surat harga syariah negara']	neutral
USER Ian pantat'	['ian pantat']	negative
Pendaftaran Capres untuk #Pilpres2019 saja belum dibuka sampai Agustus 2018...yang normatif begini politikus PDIP masih belum paham? #2019GantiPresiden !!	['daftar calon presiden pilih presiden 2019 buka agustus 2018 normatif politikus partai demokrasi indonesia juang paham 2019 ganti presiden']	neutral
Si tolol udah tau pemerintah rezim komunis ini bobrok koruptor bisa pimpinan sidang DPR paya cebong URL	['sih tolol tau perintah rezim komunis bobrok koruptor pimpin sidang dewan wakil rakyat paya cebong uniform resource locator']	negative
dari dulu kenapa bapak w kalau ke mantan mantan w selalu mgerasa sedih ampe kepikiran dan gabisa tidur lohh?!! dan w ngerasa jadi anak yg brengsek aja gt ke laki2 :)))'	['gue mantan mantan gue sedih pikir tidur lo gue anak berengsek laki laki']	negative
Cina perusak bangsa!! Usir !! Stuju??	['cina usak bangsa usir tuju']	negative
#2019GantiPresiden scra konstitusional hak setiap rakyat woiii!! . Gini nih kalo planga plongo tapi kelakuan otoriter.	['2019 ganti presiden konstitusional hak rakyat woiii nih plonga plongo laku otoriter']	neutral
Mari kita wujudkan Pilkada Kota Bengkulu 2018 aman dan damai.; .; .; coki_adem86 98heruâ?¦	['mari wujud pilih kepala daerah kota bengkulu 2018 aman damai cok adem86 98heru']	negative
KORSA: Pernyataan Moeldoko Bukti Istana Takut dengan Kebangkitan Umat Islam	['sama nyata moeldoko bukti istana takut bangkit umat islam']	negative
cowo yang jago drasex mana? sini ngentot sama adek - luvian'	['cowok jago drasex ngentot adik luvian']	negative
USER USER loh bukan nya mentri suharto ada yg homo?'	['nya menteri suha o homo']	negative
Gue tau loh bukan yang dulu yang masih culun dan cemen semua orang pasti akan berubah perlahan2 entah itu baik / buruk :)'	['gue tau culun takut orang ubah perlahan lahan buruk']	negative
Pada perang salib dulu itu kerajaan di Afrika terbagi dua yakni Babilonia pemeluk kristen dan Tobaco pemeluk islam'	['perang salib raja afrika bagi babilonia peluk kristen tobaco peluk islam']	negative
Moga ini ada tindak lanjutnya!; ; Pelaporan terhadap ?penista agama? Ade Armando akan dilakukan langsung oleh Ketua Umum FPI KH. Shobri Lubis ke Bareskrim Mabes Polri, Gambir, Jakarta Pusat pada Selasa (10/4) pukul 13.00 WIB.; #Perhaps USER;,1,0,1,0,1,0,0,0,0,1,0,0;;;;;;;;;;;;	['moga tindak lapor nista agama adek armando langsung ketua front bela islam kh shobri lubis badan reserse kriminal markas polisi republik indonesia gambir jaka a pusat selasa 10 4 13 00 indonesia barat perhaps 1 0 1 0 1 0 0 0 0 1 0 0']	neutral
USER USER USER USER USER USER USER USER Bangke.. hajar!!!!'	['bangkai hajar']	negative
USER USER USER .\nOnta mati klo kebanyakan Minum'	['onta mati banyak minum']	negative
URL Ahok tng mrka trus was-was hdpnya USER USER USER USER USER USER USER	['uniform resource locator ahok tng was was hidup']	positive
Itu baru di Sul Teng.. !!!; Ini ekses akibat tersandera hutang china !!!; #2019GantiPresiden; #2019PresidenBaru ; #2019TetapJokowiGanti	['sul teng ekses akibat sandera hutang cina 2019 ganti presiden 2019 presiden 2019 jokowi ganti']	neutral
6. Pride (Yunani; \xe1\xbd\x99\xcf\x80\xce\xb5\xcf\x81\xce\xb7\xcf\x86\xce\xb1\xce\xbd\xce\xaf\xce\xb1-hyper\xc4\x93phania) keangkuhan/harga diri/kesombongan\ndikenal juga dengan sebutan hubris/vanity. harga diri yang tinggi dapat merubah manusia sombong, kesombongan membuat manusia terkutuk dimata tuhan.dan dapat membuat manusia mencintai dirinya sendiri-',0,0,0,0,0,0,0,0,0,0,0,0;;;;;;;;;;;;	['6 pride yunani xe1 xbd x99 xcf x80 xce xb5 xcf x81 xce xb7 xcf x86 xce xb1 xce xbd xce xaf xce xb1 hyper xc4 x93phania angkuh harga sombong kenal sebut hubris vanity harga ubah manusia sombong sombong manusia kutuk mata tuhan manusia cinta 0 0 0 0 0 0 0 0 0 0 0 0']	negative
USER Tak hanya kurang bertaji nya kpk era ini...tapi era ini juga komitmen dlm pemberantasan korupsi tdk spt di era Pak sby....	['be aji nya komisi berantas korupsi era era komitmen berantas korupsi surat pemberitahuan tahun era susilo bambang yudhoyono']	neutral
RT USER: Admin tolol di partai tolol\nPartai Tolol untuk orang Tolol'	['admin tolol ai tolol ai tolol orang tolol']	negative
Video ttg TKA dibuat oleh Malaysia tapi mengutip pernyataan saya di USER	['video tenaga kerja asing malaysia kutip nyata']	neutral
PPP: Jangan Buru-buru Tolak Wacana Pilkada LewatÂ DPRD	['ppp buru buru tolak wacana pilih kepala daerah dewan wakil rakyat daerah']	neutral
"Random pagi2 ada Bapak2 nyamperin ke meja kerja trus nanya ""pake bedak apa sih biar mukanya bersih, istri saya butek soalnya""\nIngin ku jawab pake air wudhu tapi ku Kristen.',0,0,0,0,0,0,0,0,0,0,0,0;;;;;;;;;;;;"	['random pagi pagi samper meja kerja pakai bedak sih biar muka bersih istri butek ku pakai air wudhu ku kristen 0 0 0 0 0 0 0 0 0 0 0 0']	negative
USER USER KO GUA KAMPRET'	['gue kampret']	negative
Memek lonte pengen disodok kontol gede'	['memek lonte sodok kontol gede']	negative
Jokowi aja yg mundur. USER tutup. URL	['jokowi mundur tutup uniform resource locator']	neutral
USER Ada amin rasis.\nAda amat dani\nAda ratna si paiiit.\nAda si onta.\nAda si lobang anus.\nJdi jngan takut wo wo..\nKehabisan obat penenang yh.'	['amin racist nada dan nada ratna sih paiiit nada sih onta nada sih lobang anus takut oi oi habis obat tenang ya']	negative
USER Tunggu komando IMAM BEJAT CABUL USER . TAIK BEER \xf0\x9f\x8d\xba\n\nApe2 bawa ULAMA...\nDASAR Banj SEMPAK'	['tunggu komando imam bejat cabul tai bir xf0 x9f x8d xba bawa ulama dasar banj sempak']	negative
Kabinet berantakan \nPemecah belah persatuan hanya ad di rezim ini'	['kabinet beranta pecah belah satu rezim']	negative
USER USER ga caya sama mulut buaya mu bwang'	['percaya mulut buaya mu bawang']	positive
2019, jika SBY + PRABOWO menyatu melawan MEGA + JOKOWI , maka peristiwa 2004 akan terulang dimana PDIP yg Incumbent dikalahkan mutlak oleh SBY. ; ; Tp jk JKW+MEGA+SBY melawan PRABOWO, mk Pilpres selesai sudah. ; ; Jk 3 Poros di Pilpres, mk salah satu Lawan,0,0,0,0,0,0,0,0,0,0,0,0;;;;;;;;;;;;	['2019 susilo bambang yudhoyono prabowo satu lawan mega jokowi peristiwa 2004 ulang mana partai demokrasi indonesia juang incumbent kalah mutlak susilo bambang yudhoyono jokowi mega susilo bambang yudhoyono lawan prabowo mk pilih presiden selesai 3 poros pilih presiden mk salah lawan 0 0 0 0 0 0 0 0 0 0 0 0']	neutral
RT USER USER Jangan kayak BANCI KALENG kamu GATOT sering buat Gaduh gentleman lah MUNDUR siap bersaing di pemilihan presidens 2019 melawan Jokowi	['kayak banci kaleng gatot gaduh gentleman mundur saing pilih presiden 2019 lawan jokowi']	positive
bebal...	['bebal']	negative
5. Yang terakhir karena Indonesia negara dengan populasi muslim terbesar di dunia, yang mana Islam saat ini merupakan musuh barat &amp; Komunis karena dapat menghambat agenda dan kepentingan mereka.(Obviously)',0,0,0,0,0,0,0,0,0,0,0,0;;;;;;;;;;;;	['5 indonesia negara populasi muslim besar dunia islam musuh barat amp komunis hambat agenda penting obviously 0 0 0 0 0 0 0 0 0 0 0 0']	negative
USER USER umuh &gt; persib\npersib kunyuk!!!!\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'	['umuh persib persib kunyuk xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82']	positive
USER USER Buat film muslim pilih ahok mati nggak di sholatin......; dijamin laris ......	['film muslim pilih ahok mati salat jamin laris']	negative
"tapi banu banu Yahudi itu tentu beda dgn banu banu Kristen Syriac. salah satu perbedaan ad banu Yahudi tetep pake ""eloah/ elohim/ yahwe/"" sedangkan Syriac sudah pake ""alah/ allah""',0,0,0,0,0,0,0,0,0,0,0,0;;;;;;;;;;;;"	['banu banu yahudi beda banu banu kristen suriah salah beda banu yahudi pakai eloah elohim yahwe suriah pakai alah allah 0 0 0 0 0 0 0 0 0 0 0 0']	negative
USER Eh kenapa muka merah2 tu? Tak dpt cendol ke? Bukan la setan cuaca skrg ni panas.'	['eh muka merah merah cendol setan cuaca nih panas']	negative
Pemberitaan saracen diframing katak seakan tim prabowo dan anies-sandi. Seberulnya itu media menumpahkan sakit hati katak dan cebong. *Ehe	['berita saracen diframing katak akan tim prabowo anies sandi media tumpah sakit hati katak cebong ehe']	negative
Syg bgt ya ngeliat perempuan kyk gini... Gak ada status apa2 tp udah nemplok sm laki-laki sana sini. Haduh....\nNagita Slavina Blak-blakan Sebut Ayu Ting Ting Kampungan \xe2\x80\x93 VIVA URL	['sayang banget ya perempuan kayak status tempel laki laki aduh nagita slavina blak blak ayu ting ting kampung xe2 x80 x93 viva uniform resource locator']	negative
USER Jgn lupa juga kang.... Umat katolik dan minorutas lainnya diperhatika. Gubernur untuk semua golongan bukan satu golongan.'	['lupa kang umat katolik minoritas perhati gubernur golong golong']	positive
USER USER USER USER Kan ane bukan cebong udeh dibilangin dari maren masih ngeyel\nSitu maksa ane jadi cebong?'	['cebong bilang kemarin eyel situ paksa cebong']	negative
USER wakakakaka aku sudah mengalaminya \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 tetiba muncul grub wa a.n Bani Abd Hadi a.k.a mbahku dan seketika aku mek kenal beberapa orang saja \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\	['wkwk alam xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 muncul grub wa a bani abdi had a k a mbah mek kenal orang xf0 x9f xa4 xa3 xf0 x9f xa4 xa3 xf0 x9f xa4']	neutral
â??Seorang anak Pekan telah mengilhamkan Dasar Ekonomi Baru (DEB) dan menjadi penggerak utama kepada kemajuan ekonomi luar bandar. Beliau adalah Allahyarham Tun Abdul Razakâ?? - DS USER #MalaysiaMemilih #HogohUndi	['anak pekan ilham dasar ekonomi deb gerak utama maju ekonomi bandar beliau allah ya rahman tun abdul razak ds malaysia pilih hogohundi']	negative
USER USER Hahaha sialaaan nih si USER,; ; ternyata klo lg laper, ; presiden juga mau disikat sama doið???ð??½; ;,0,0,0,0,0,0,0,0,0,0,0,0;;;;;;;;;;;;	['haha sialaaan nih sih lapar presiden sikat 0 0 0 0 0 0 0 0 0 0 0 0']	negative
USER tahun 2019 Rakyat makan ASPAL dan BETON; ini adalah solusi jitu mengurangi kemiskinan; ; KEAHLIAN CEBONG HANYA 1, TUKANG TIPU !!!; cebong mah gitu, goblok nggak ketulungan. Plonga plongo mengakibatkan optimisme berlebihan; ; #2019GantiPresiden #,1,1,0,1,0,0,0,0,1,0,1,0;;;;;;;;;;;;	['2019 rakyat makan aspal beton solusi jitu kurang miskin ahli cebong 1 tukang tipu cebong goblok ketulungan plonga plongo akibat optimisme 2019 ganti presiden 1 1 0 1 0 0 0 0 1 0 1 0']	negative
"USER Aku pernah sempat baca ttg Harun Yahya ini yg 'membelot' ke kubu Yahudi dgn Freemasonry nya...kdg suka ga percaya..."",0,0,0,0,0,0,0,0,0,0,0,0;;;;;;;;;;;;"	['baca harun yahya belot kubu yahudi freemason nya kadang suka percaya 0 0 0 0 0 0 0 0 0 0 0 0']	negative
Kita Maju Bersama Ulama ; Kita Bergerak Bersama Semua Tokoh Agama untuk Indonesia; #NderekGusMus	['maju ulama gerak tokoh agama indonesia gus mus']	negative
USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER	['']	negative
#MukidiKepedean ; Pertanyaan mudah ya..; Dijawab yg keras , tapi Saya minta dijawab yg keras , siapa nama Saya ?,0,0,0,0,0,0,0,0,0,0,0,0;;;;;;;;;;;;	['mukidi percaya pe anyaan mudah ya keras keras nama 0 0 0 0 0 0 0 0 0 0 0 0']	negative
USER Kemarin di hujat sekarang mengharap dasar para bani kamprey'	['kemarin hujat harap dasar bani kampret']	negative
