text	label
ini pertama kali saya makan abuba steak di luar jakarta . rasanya agak berbeda dengan yang saya biasa nikmati di abuba steak jakarta . kurang enak . suasana restoran nya oke . toilet nya sudah agak tua , harus sedikit diperbaharui	negative
ini xl jaringan nya jelek banget ya	negative
saya sebagai warga jakarta malu kang sama oknum yang tidak bertanggung jawab yang mau sweeping bobotoh	negative
para cebong yang selama ini menuduh saya mencuri uang sedekah 30 %, silakan anda urus si aris wahyudi ini . dia ambil komisi 20 % untuk transaksi pelacuran berkedok agama . berani tidak , membulat si aris wahyudi ini ? atau kamu semua cuma berani sama jonru ?	negative
kalau djarum memang agak tidak kuat , dia baru kerasa tidak bagus nya pas akhir bakaran	negative
bakmi tasik saya dan beberapa teman mampir dan coba bakmi bakso nya . makanan nya biasa-biasa saja . tidak ada yang special .	negative
dizaman ini masih ada mbak mbak online shop yang tidak tahu aplikasi gojek gocar gosend ya allah bodoh sekali : jualan dihutan aku rasa	negative
lokasi tes tidak jelas . ditelepon tidak diangkat . di email cuma auto reply . tidak rekomendasi . aku baru sadar something adalah wong pas mampir ke kantor nya dan mereka cerita bahwa pernah held tes di hotel dan ruang sebelah ada kondangan . they told that without remorse	negative
yue ke hotel yang di mongkok hongkong , tidak ada ! bulan juni lalu , saya booked dan sudah bayar untuk 2 kamar . tapi hotel tidak ditemukan	negative
orang cina makanan legendaris sudah lama banget nih orang cina makanan satu ini semuanya enak yang tidak enak cuma parkir nya saja aujubila susah nya parkir harus di seberang karena depan resto trotoar . jadi harus sabar sekali-sekali . sedih deh .	negative
kenapa kamu jerat buni yani undang-undang ite ? padahal jelas-jelas itu video berasal dari youtube yang diunggah oleh pemprov itu sendiri . harus nya yang kena undang-undang ite itu pemprov bukan buni yani . ya kan ?	negative
sebagai pengguna setia produk mereka , kecewa banget sama pelayanan pusat servis asus yang tidak jujur dan menyepelekan pendapat pelanggan .	negative
saya tadinya penasaran dengan tempat ini karena di tempat nya banyak sekali foto-foto kunjungan para artis ke tempat ini tapi pas saya pesan makanan unggulan di tempat ini saya rasa tidak setinggi pemikiran saya yang ada biasa saja dan keras . jadi aneh bagi saya tempat ini bisa sebegitu terkenal nya	negative
kang , jalan di muararajeun baru , baru sebulanan dibenarkan , sudah rusak lagi . yang mengerjakan seperti tidak serius	negative
melihat itu kader demokrat ribut dengan pak hnw dari pks , hanya karena demiz tidak jadi dicalonkan , jijik baca nya	negative
tak usah nonton film itu , bahasa jawa semua . sudah tidak mengerti , tidak punya teks , jelek lagi film nya . tindak pantas tayang di layar besar .	negative
ini si monyet bawah gua , nama nya saja anonim pengecut pakai simbol , bisa nya cuma mengatakan orang , memang hidup situ benar anjing ? nama saja tidak berani sebut , malu ya mending apa takut ?	negative
kami sudah bosan dengan janji-janji kalian	negative
fadli zon anjing kau . tidak usah kau sok polos .	negative
sulit sekali mengerti orang yang merasa selalu benar	negative
omongan nya pak anies itu suka kebalikkan nya . kalau percaya terus menerus bisa gila .	negative
rakyat mah tidak panik sudah biasa hampir 4 tahun belakangan ini di kibulin terus , istana itu yang panik segala jurus tipu sudah dikeluarkan tetapi tidak mempan rakyat nya dah pada pinter , kecuali penghuni kolam butek yang masih senang diumpankan tipu tipu hap hap hap	negative
ingin marah ke indosat	negative
yusri maling dan kepala maling di belakang nya . ayo pejabat jakarta , cabut ktp dki nya . rakyat miskin yang sudah dibantu dari pajak orang-orang beruang kok bergaya lagi .	negative
dasar gubernur tidak bermutu , pecat saja dari gubernur .	negative
auto mual , mie nya kelembekan , molor nya hancur , cuek	negative
pun tahu , cap cay , kangkung nya lumayan tapi kepiting saus padang nya mengecewakan kami dikasih kepiting yang kopong akhir kami tidak makan kepting nya dan dikembalikan .	negative
mengapa poor ? dulu waktu saya makan di sana , interior belum bagus , parkir juga susah , rasa makanan semua manis termasuk sayur asem nya .	negative
menyesal beli first press regular karena isi photobooka nya alur seperti jodoh	negative
saya tidak suka beliau jokowi yang masih jadi presiden	negative
percayakah masyarakat indonesia dengan karangan bapak polisi yang terhormat ini ? yang kata nya sudah bertemu dengan pemotor nya ? silakan anda nilai mengarang di bawah ini . dapat nilai berapa ?	negative
meskipun saya berasal dari pekanbaru tapi jika bicara tentang masakan padang tetap lebih enak di sana daripada masakan padang di jakarta . kebanyakan masakan padang di sini sudah dimodifikasi dengan lidah masyarakat di sini . jadi , meskipun di dekat kantor ada rumah makan padang yang rasanya lumayan , tetap tidak bisa puaskan rasa rindu dengan cita rasa asli padang kok agak berlebihan ya ? hehehe	negative
orang orang pks sangat tidak berkualitas hingga kampanye negatif pun diperintahkan .	negative
orang papua memang biadab lebih baik di bom saja . keberadaan nya bikin kacau dan susah orang saja .	negative
dulu enak sekali , sekarang rasanya biasa saja . mungkin karena selera saya yang terus berubah sementara tempat ini masih mempertahankan tradisi nya . pelayanan dan suasa nya restoran masih sama seperti dahulu , terjaga tetapi bisa terus ditingkatkan agar tidak ketinggalan zaman .	negative
tidak hebat	negative
beli cimory di indomaret , tidak tau nya sudah lewat masa kadaluarsa tiga hari , kacau !	negative
negara khilafah tidak boleh ada perbedaan , semua harus salat . kita bunuh dulu mereka sebelum kita dibunuh	negative
susah ya sama orang primitif di tolikara papua yang bodoh , orang lagi salat id malah dibubarkan . si hitam yang tolol di tolikara	negative
dulu kaum babi menyebut ketua komnas ham , natalius pigai sebagai monyet manusia hitam gara-gara membela habib rizieq , nah sekarang ketika komnas menyerang fahri hamzah , kaum babi malah muji-muji komnas ham . dasar penjilat .	negative
pdip adalah partai paling korup , tidak bisa dipercaya	negative
barang saya seharusnya sampai say tapi kok bisa menyasar jauh ke papua . ini modus penipuan , ya ?!	negative
kasihan , padahal kalau tidak ada polling denny siregar cebong girang sekali , sayang , dipupus oleh kalah telak nya jokowi di polling denny .	negative
demi allah ini sadis pak anies diginiin . pak anies itu pejabat negara dan tuan rumah jakarta , sadis biadab rezim sekarang . jangan pilih pdip dan partai pendukung penista agama .	negative
kok bisa dibiarkan bangunan di atas sungai , di jalan dari rshs mnj pasar ciroyom cc aneh	negative
takut	negative
ini komikus bayaran bukan sih ? untuk keperluan politik 2019 ya ?	negative
wifi di sini selalu eror , makanan dan minuman agak mahal , lumpiah goreng asin sekali , teh susu hanya sedikit enak , lama sekali untuk pesanan	negative
cucu mantan dirut pertamina era suharto ? yakin itu harta , bukan hasil korupsi ? bermewah-mewah dari hasil korupsi ? apakah di negara ini , tidak punya budaya malu , makan hasil korupsi .	negative
malu ? minder ? jadi wni . ya situ pindah negara saja . begitu saja kok repot . malu tapi masih tinggal di indonesia . otak oon dasar	negative
saya tdi tarik uang di atm bni tamansari kec. bandung wetan , uang nya tidak keluar dari mesin tetapi sms banking saya masuk kalau misalnya ada penarikan , kacau amat sih pelayanan .	negative
jadi pendukung jokowi malah bikin tidak untung	negative
demi apa pun gua ingin marah indosat cacat banget si	negative
ibu sri tahu tidak harga karet dipetani dalam 3 tahun ini miris . listrik mahal , gas mahal dan langka . turun dari mana logika nya ? zaman bisa 13 ribu / kg . 3 tahun pe 5500 / kg	negative
kenapa korupsi meraja lela ? koruptor bebas berkeliaran , karena kantor polisi hanya diisi para pecundang mata duitan banyak bacok yang hanya mau membela yang sanggup bayar . benar-benar malang indonesia .	negative
manusia-manusia ini memang dilahirkan jadi pecundang	negative
akan terus lakukan penggusuran di kawasan sunda kelapa , habisi semua pribumi miskin	negative
ingin marah ini kok tumbenan ya telkomsel eror	negative
indonesia tidak niat jualan ya begitu deh	negative
aku agak kecewa dengan lagu nya melody echo chamber yang baru . hmm aliran nya berubah dari pyschedelic kayak ke shoegazing , terus juga rumor dia dekat sama pria baru itu semenjak putus sama kevin parker tame impala itu .	negative
payah sekali pelayanan pos indonesia saat ini	negative
saya bersama keluarga makan siang di sini , di lantai 5 dan di seberang kami tepat area kitchen . kami sangat tidak nyaman , karena staf kitchen nya sangat berisik sekali dan yang mereka bicarakan itu dengan bahasa sunda yang kasar dengan suara lantang . makanan cukup baik , tempat menunjang , tapi dari kenyamanan nya tidak ada nilai nya .	negative
kok bisa si tolol ini jadi pemimpin , diketawain moderator kata nya ada oke oce eh malah orang disuruh jadi tukang becak ? dasar si anus buswetan	negative
berbekal referensi dari internet , kami penggemar steak ingin mencari alternatif tempat yang belum kami datangi , salah satu nya abuba . kami pesan tenderlorin dan t bone dengan pembakaran cukup matang . sesudah menunggu lama , karena resto sedang penuh di akhir pekan . pesanan kami jauh dari yang kami bayangkan , steak yang gosong dan keras , dan satu lagi steak masih merah cenderung mentah , dengan penyajian asal-asal an , steak nya .	negative
tidak jadi masalah . wong pendukung say juga koruptor semua , sudah berapa orang kader demokrat yang sudah di jebloskan ke kebun binatang .	negative
berantakan	negative
jika kita biarkan manusia busuk ini hidup di negara kita . bisa-bisa negara kita benar-benar bubar .	negative
harga mahal , rasa dan penyajian biasa saja . sangat mengecewakan . makanan dingin , server nya bilang sudah dihangatkan .	negative
saldo gopay saya tbtb habis padahal saya tidak meladeni orang yang usil yang nga ku dari pihak gojek , tolong segera tangangi , menyusahkan saja .	negative
aku menyesal sudah beli handphone xiaomi , lain kali saya tidak ingin pakai handphone merek itu lagi	negative
sulit sekali dinasehati memang . sudah tahu tidak mampu kenapa harus dipaksakan .	negative
penjual meminta saya membuat video testing untuk baterai nya yang bermasalah , telepon genggam saya restart tidak henti-henti kalau pakai baterai nya , bisa rusak telepon genggam nya dan penjual tidak bersedia tanggung jawab , jadi saya menolak	negative
pks backing nya tuhan , partai abang backing nya cuma say .	negative
anis - sandi menang . ahok dipenjara , megawati stroke , jokowi lengser , iwan bopeng tertangkap dihajar tni , tito dipecat jadi kapolri , nusron wahid dan panser ngemis-ngemis minta perlindungan ulama dan habib . aman indonesia sejahtera rakyat nya . penuh berkah hidup rakyat nya . cuma satu islam harus tetap bersatu walau beda organisasi seperti waktu 212 . allohuakbar	negative
penista agama itu , yang doyan sara etnis ya , yang ingin khilafah ya , yang diam saja ulama mesum dan sebagai nya dan sebagai nya	negative
nih orang selain mulut nya perang sepertinya otak juga peyang . minta ditempeleng biar balik lagi . belaga bodo apa terlibat lu fuckri ?	negative
bung fahri anda benar tidak semua anggota dewan maling - air setitik rusak susu sebelanga	negative
pks makin lama makin tidak jelas . tenggelamkan !	negative
karyawan malas untuk apa kasih cuti . bisnis lagi jelek malah mau foya foya . mikir dong !	negative
iya itu yang bikin saya kesal . ini bukan kesalahan sang pelamar tapi jelas 100 % kesalahan pihak yang di atas yang entah bagaimana cara mereka berkordinasi . nyesek saya itu walaupun ini kasus teman saya yang di lampung . sayang saja pemerintah sendiri tidak tahu lulusan untuk posisi nya sendiri	negative
calon pemimpin papua tidak ada yang benar , bahkan sampai ada yang ngancem bakal membunuh orang yang tidak mau dukung dia .	negative
maklum pak . sebelah pola fikir nya sempit . yang ada di otak nya cuma tempe	negative
kenapala mesti ada sifat cemburu dalam hidup ni sungguh menyiksa	negative
untuk pkb tolong jadilah partai yang punya pendirian , jangan suka jadi bajing loncat , jangan mau di rayu demokrat , ingat demokrat partai korup .	negative
semoga kabut asap yang ada di riau semakin pekat sehingga orang islam di riau mati semua karena kehabisan oksigen dan mengurangi populasi islam di dunia .	negative
pemandangan nya indah , udara nya sejuk , tapi harga makanan nya kemahalan boowkk . mungkin karena di dalam nya termasuk biaya entertainment waktu itu ada angklung mang udjo yang perform shuttle car ya ? nah masalah shuttle car ini yang malesin , mesti antre lama saat liburan karena jumlah pengunjung banyak sedangkan mobil nya cuma dikit .	negative
selamatkan anggota kami . anggota pki adalah anggota paling suci sedangkan islam itu sesat .	negative
setuju gua dengan pak rocky gerung . isi orang istana semua kerja nya selalu koar-koar . tidak bermutu .	negative
kami mencari tempat es krim ini dengan penuh semangat , membayangkan sama persis dengan gelato yang di yogya , setelah ditemukan ternyata gelato nya berbeda . tidak sama dengan yang di yogya . cuma mirip : - apa entah pas giliran kami ke sana itu es belum jadi atau memang mesin nya sedang rusak acuh . atau memang seperti itu ? kalau iya . berarti mesin nya kurang bagus .	negative
saya kemarin memesan ayam panggang 2 porsi masing-masing 1 / 2 ekor , kangkung terasi , mineral water 3 , nasi 2 , dan udang bakar madu . ayam panggang nya kecil sekali . kangkung anyep . udang bakar hanya berisi 5 - 6 ekor yang ukuran nya tidak lebih dari jari saya dan ternyata harga nya 80 ribu an lebih . are kamu kidding me ? awal disuruh ngantri padahal dalem masih kosong .	negative
zaman sekarang masih pakai bahasa kampung . dasar kampungan	negative
berkunjung ke sumatera barat pasti bosan dengan suguhan budaya	negative
membenci	negative
lokasi nya oke banget buat foto-foto . datang pada saat sore menjelang malam ketika lampu-lampu akan dinyalakan . romantis sekali . makanan nya biasa saja tidak ada yang spesial	negative
kesan pertama menginap di rumah stroberi , cek in tidak bisa jam 2 siang karena yang menginap sebelumnya terlambat cek out , tidak ada apa pun yang ditawarkan pihak staf rumah stroberi saat kami harus selama satu jam menunggu kamar dibersihkan . kemudian kami juga diberitahukan bahwa restoran tutup jam 5 sore sehingga jika ingin memesan makanan untuk makan malam harus sebelum jam 5 sore . cukup menyebalkan .	negative
gue kapan nih ditangkap ? gue tidak sabar menembak kepala polisi kalau datang ke rumah gue .	negative
untuk rasa biasa saja tidak membuat saya terkesan , dengan harga 33 ribu untuk mi ayam dan segelas lemon tea kata nya tapi yang disajikan bukan lemon tea malah jeruk nipis tea dengan ukuran gelas kecil terasa kurang menggigit di lidah , untuk pelayan perlu dilatih untuk melayani pelanggan dengan sepenuh hati bukan lips service saja	negative
saya order jam 1 private message order 2 main course dan 2 minuman . makanan yang 1 sudah datang . 20 minta dan makanan saya 40 menit baru datang . akhirnya saya cancel makanan saya . sungguh kecewa makan di sini . pelayanan yang jelek .	negative
jujur saja fahri ini bego nya amat banget . saya bingung kenapa dia bisa duduk di kursi wakil ketua dpr , padahal tidak punya partai ? terus fahri ini memang mau bubarkan kpk dan fahri ini sangat takut dengan kpk . jadi wajar saja fahri tidak paham . padahal sudah jelas teman nya ditangkap .	negative
sudah makan di sini kemarin , pesan menu beef steak . dari lokasi , cukup nyaman . untuk menu , tampaknya masih perlu peningkatan rasa karena hidangan nya masih belum memenuhi pesanan . orange squash nya kurang enak soda - nya .	negative
sangat keliru analisis anda , kesalahan paling fatal adalah demiz jadi kader demokrat top ada pembicaraan sebelumnya dan saat masih tahap negoisasi dengan gerindra , lanjut nya demiz memberikan izin meikarta di saat pak hica pandjaitan hadir di peresmian meikarta .	negative
biasa saja . rasa biasa , tempat biasa , pelayana biasa . tidak bagus banget , tidak jelek banget juga . biasa saja .	negative
selalu mengambil keputusan sepihak dan tertutup untuk peraturan ke mitra nya . perusahaan macam apa	negative
order saya dari 2 hari yang lalu tidak sampai-sampai nih aduh	negative
dari nama nya tentunya diharapkan untuk datang ke sini saat malam . inti makanan nya adalah nasi hitam dengan berbagai pilihan lauk ala warung nasi pada umum nya . rasa standar sih . dengan rasa yang standar , harga yang diberikan cukup mahal sebenarnya . yang paling membuat malas datang ke sini pelayanan nya yang super asal-asalan dan tidak ramah . lokasi cukup mudah dijangkau di jalan riau . at all , pikir-pikir .	negative
iya itu maksud gue hahaha untuk apa sih kamu mau beli bekas pemain madrid , kesal gue tidak sudi uhuu	negative
itu sandiaga omongan nya sok benar deh !	negative
sumpah kecewa , nasi uduk langganan saya kerupuk nya ganti jadi kerupuk pelangi . kecewa banget parah tidak bohong .	negative
belajar dari kasus setya novanto mungkin , mempermasalahkan meme masker malah jatuh citra nya kan .	negative
makanan nya enak dan terkenal dari saya kecil dulu . tapi terakhir makan di sana , harga nya benar-benar tidak masuk akal untuk bakmi . pelayanan nya juga kurang ramah dan kurang sopan . padahal lokasi di perumahan tua dan kurang bersih . mengecewakan mahal sekali dibanding pesaing nya	negative
negara indonesia terancam bangkrut .	negative
menyesal kami mengadakan acara makan malam di restoran ini . bersama rekan-rekan kantor , saat itu kami pesan beberapa macam menu , di antara nya beef steak , buntut bakar , udon soup , hot chocolate , dan es kopi . untuk rasa makanan , standar saja , biasa-biasa saja ! tidak ada yang istimewa , hanya istimewa pada tempat nya saja yang elite .	negative
sangat kecewa sekali karena liga champions tidak disiarkan di channel-channel indihome baik channel lokal ataupun channel sports nya . seharusnya kalian perjuangkan hak siar itu karena pelanggan sudah bayar mahal . kecewa	negative
tolong cek pesan langsung , capek marah marah sama indosat dari dulu masalah melulu	negative
ibu macam apa yang mudah nya teriak kamu pembohong , kamu pembangkang , mungkin memang salah orang tua yang tidak becus mendidik anak .	negative
bakar mati saja sekeluarga .	negative
prabowo kan punya pasukan orang stres banyak sekali mungkin dia sendiri mau bukan indonesia hancur	negative
maklumlah kalau jokowi itu baperan , klaim meng klaim memang itu saja bisa nya , pokok nya presiden ri satu ini alay , lebay , capcay dan puyung hai .	negative
pesan es jeruk nipis dan bakso tahu . es nya seperti sirup pasaran dan bakso tahu nya tidak panas cenderung dingin . cukup datang sekali dan tidak layak untuk direkomendasikan .	negative
kayak nya pagi ini macet banget ya sudah tur di bus lebih dari sejam , tetapi tidak sampai-sampai juga .	negative
muka kayak cepot . di medan sudah ku matikan anak itu	negative
jadi imam untuk pencitraan percuma . apalagi untuk publikasi . maaf banget . muak gua	negative
what ! anies mau nyalon jadi presiden ? mending nyalon aja sono ke barbershop dah	negative
tidak mengerti nih kubu jokowi makin lama kok ideologi pikiran nya tidak sesuai ya ? dari membenci syariah kekhalifahan , mendukung budaya syirik , mendukung pembakaran bendera brkalimt tauhid , tidak jadi saya pilih jokowi , takut kena azab	negative
kasihan lihat muka nya jokowi jadi sontoloyo	negative
rt : anak sma yang ketahuan mencuri helem di bip , hari ini pak ini adalah contoh sampah masyarakat yang harus dimusnahkan	negative
urgent untuk koneksi data internet buruk	negative
ingin marah kepada indosat	negative
dove itu mahal	negative
senen pagi ku mandi hujan plus terjebak macet kan bikin kesal	negative
makanan sama minuman di restoran itu harga nya sudah mahal , tidak enak lagi	negative
saya pakai paket yellow lho . tetapi pulsa saya berkurang terus , dasar tukang tipu !	negative
dikarenakan adik saya suka dengan restoran ini , saya akhirnya mampir ke sini . dari awal sih saya langsung tidak sreg sih . makanan yang disediakan terlihat seperti yang tidak terlalu membangkitkan selera . berbeda dengan restoran shabu yang biasa saya ku njungi . dan setelah saya memilih dan mulai memasak nya , ternyata benar , rasanya pun tak masuk di lidah . akhirnya banyak makanan yang tidak dimakan .	negative
apa sih yang patut kita bangga dan puji dengan politikus ? apa yang sudah mereka lakukan kecuali cuap-cuap kosong ! lenyap dan tenggelamkan ke laut termasuk pdip	negative
menunggu makanan nya lama banget , waitress nya galak , pas makanan nya saat itu saya pesan pizza datang eh gosong sampai kasir nya pun pas saya bayar tidak senyum bad services secara keseluruhan baik .	negative
beberapa kali mengunjungi mal ini , kesan nya mal ini membingungkan dan mahal . petunjuk di dalam mal juga kurang , dan jalur nya terlalu banyak . barang-barang bermerek bisa ditemukan di sini , dengan harga yang sesuai dengan brand nya . untuk kuliner nya juga termasuk mahal , dan variasi nya kurang banyak . tapi bolehlah kalau cuma untuk berjalan-jalan .	negative
makan siang dengan istri dan anak anak saat tahun baru di restoran ini sangat chaotic . pertama tama perlu waktu tunggu untuk dapatkan kursi saat tiba 5 menit , setelah duduk , kami tidak langsung didatangi pelayan saji dengan daftar menu nya , perlu waktu 10 menit lagi , meja di hadapan kami pun sampai 30 menit belum dibersihkan , sampai makanan tiba . cukup menyebalkan .	negative
semenjak pemerintah sekarang china semakin kurang ajar , usir china tionghua dari negara kita , merendahkan pribumi , di jakarta saja mereka kurang ajar . usir china , pribumi harus bersatu ?	negative
saya muak dengan keputusan offside yang sebetulnya onside yang sangat sangat sering dilakukan oleh para hakim garis di liga sepakbola indonesia . saya kesal dan malu . terima kasih .	negative
kekacauan selama 16 tahun ada nya kpk ini seperti ada yang menjaga supaya tetap kacau . ketidaksinkronan antara lembaga dan antara aturan sebetulnya kasat mata . tapi sengaja dijaga . saling curiga antar lembaga terus saja terjadi mulai sampai	negative
jokowi sudah putus asa maka dari itu mau jadi boneka nya mega terus .	negative
kami sengaja pilih jokowi di polling fadlizon biar bong sok nanti 2019 , ini lawan bang fh saja keok	negative
ternyata banyak banget pengecut dan orang sombong di dunia ini . world cruel , saya lever realized .	negative
oy itu paket penting , aduh parah banget ini jasa pengiriman	negative
maka dari itu kader nya itu banyak pemakan narkoba punya .	negative
warga boyolali tidak suka dihina oleh prabowo	negative
dua paslon pilgub jatim tidak berkualitas .	negative
itu pemerintah kerja tidak si ? jadi orang tidak becus banget .	negative
bus nya tidak nyaman mbak tidak sesuai dengan yang diomongin atasan , belum makanan nya kurang enak banget , lalu tempat wisata tujuan nya yang mengecewakan :	negative
ikan laut di aceh masih mahal	negative
waria kampungan ini ya . memang dasar kampung . pulang sana kau . mungkin kau ternate bukan betawi .	negative
waduh kok begitu provider sebelah saja cuma diminta biaya materai . sekelas maksa harus beli paket untuk ganti kartu ? apa sekarang cari untung nya dengan cara begitu ? bukan soal uang nya hanya cara nya yang saya tidak suka !	negative
pahri oh pahri lu sama saja kayak trio kwek kwek noh temen lu si sn sama fz muka batu bata urat malu sudah putus	negative
tempat nya lumayan luas , tempat parkir agak sempit , pilihan menu lumayan banyak , kekurangan nya adalah pelayanan kurang memuaskan , apalagi kalau sedang penuh , bisa sampai satu jam menunggu masakan sampai dihidangkan di meja . cukup membuat kesal .	negative
pemeliharaan tempat yang sangat buruk , sangat kotor dan terlihat tidak benar-benar higienis .	negative
aku iri melihat kalian yang bisa menemukan kebahagian .	negative
kasihan deh susulan nya lisan : lol mana ada jam matkul ham 10.10 anjing	negative
sejak dulu commedian ini pengecut . makanya heran dulu dijadikan jurkam pilkada jakarta	negative
zaman sekarang masih ada yang bicara pribumi ? lah , anda belum tahu mereka sudah jadi mayat ratusan tahun lalu di lenyapkan teknologi .	negative
masa ya harus datang ke gerai indosat dan komplain marah-marah di sana	negative
nyesek banget sih orang tua menabung puluhan juta buat sekolahin anak di ui , tidak tahu nya cuma dapat dosen sampah begitu . kelewatan	negative
cina medan memang begitu . ayo kita buat kayak 98 . kali ini kita bantai mereka	negative
kalau bca / bri / bank mandiri termasuk indomaret bekerja sama dengan cara , masa iya sih legalitas car dipertanyakan . capekdech	negative
tujuan nya jelas mau memperkeruh suasana yang sudah panas prof , heran aku dengan orang-orang model begitu , minta maaf dan mengakui kesalahan saja kok mahal . pantas dan tepat muncul tagar terlalu banyak oknum nya di kalangan pb nu	negative
kita kan saling membenci satu sama lain sejak 4 tahun yang lalu .	negative
jogja memang tolol dan miskin . kenapa tidak buka pom bensin shell . mau aja lo semua dimonopoli pertamina . bodo	negative
pelayanan jelek , harga jauh lebih mahal .	negative
fahri maling teriak maling	negative
kenapa lumayan enak ? karena ada sushi lain yang lebih enak dengan harga yang sama . letak strategis mudah dijangkau dengan angkutan umum dan mobil pribadi . menu sushi kurang banyak , kalau bisa ada menu sushi dengan porsi kecil 2 pieces , rasa sushi enak hanya tidak ada ginger pickle seperti di sushi tei untuk menambah citarasa . harus nya kulit ada ginger pickle , wasabi , cabe bubuk . jadi sebenarnya kurang istimewa .	negative
bagus nya kalau peduli atas pelaku lgbt kita gelar rajam lempar batu di monas buat pelaku lgbt biar yang lainnya tobat dan darah nya dapat mengampuni khilaf nya	negative
tepat subuh hari ini kami ke warung ini jelas ingin mendapatkan dan mencoba serabi khas ini , dari awal pelayanan lumayan baik , tapi karena keadaan yang ramai sedikit sulit mendapatkan tempat , akhirnya tunggu tidak sampai 15 minimal kami mendapatkan tempat , tetapi ternyata setelah menunggu lama pesanan kami belum datang juga , kira satu jam an kami duduk di sana dengan keadaan asap rokok yang banyak .	negative
eh busyeng . rek bca gue mengapa ngadat melulu dah	negative
masih pakai indihome kakak . wuuu . gantilah mahal lemah otak pula .	negative
ayo . rakyat tidak usah pakai wakil rakyat . bubarkan saja wakil rakyat .	negative
kasus sara dengan ucapan pribumi waktu pelantikan nya kok tidak dibahas lagi sih . pilih kasih .	negative
kampret moment , masak mi kelembekan .	negative
hina	negative
sangat sangat tidak menyenangkan dengan pelayanan nya . sangat disayangkan kualitas kereta yang sangat bagus , serta fasilitas yang nyaman dan bagus . tetapi sdm yang tidak berkualitas .	negative
agak telat datang nya , dari jne nya sih yang lama	negative
jadi . saya lapor dan penasaran png makan di sini . suasana nya oke , adem , meja dan kursi nya mengingatkan meja kursi waktu sampai dengan . pertama pesan berjalan mulus , suara mas-mas nya kecil sekali ampun deh tidak jelas bicara apa blubup blubup begitu haha saya memesan mi ayam 2baso ekstra , pacar saya memesan bakso urat soun . tidak lama datang pesanan pacar saya dan ternyata tidak sesuai ekspektasi .	negative
johan budi gagal seleksi calon pimpinan kpk . karena tidak dipilih dalam voting di komisi tiga dpr . orang dpr seperti fadelie zona dan fauckri hamzah alergi jika ada orang baik di dpr	negative
duh indosat mengecewakan . aku mau daftar baru kok malah kena tarif per kb ? pulsa berkurrang drastis	negative
di tembak mati saja atau diberi hukuman mati . kita sekarang jadi sasaran mereka .	negative
